id,date_time,year,month,mdate,day,time,sensor_id,sensor_name,hourly_counts
1683113,11/21/2016 3:00,2016,November,21,Monday,3,2,Bourke Street Mall (South),22
1683114,11/21/2016 3:00,2016,November,21,Monday,3,5,Princes Bridge,44
1683115,11/21/2016 3:00,2016,November,21,Monday,3,6,Flinders Street Station Underpass,28
1683116,11/21/2016 3:00,2016,November,21,Monday,3,8,Webb Bridge,2
1683117,11/21/2016 3:00,2016,November,21,Monday,3,9,Southern Cross Station,2
1683118,11/21/2016 3:00,2016,November,21,Monday,3,10,Victoria Point,4
1683119,11/21/2016 3:00,2016,November,21,Monday,3,11,Waterfront City,2
1683120,11/21/2016 3:00,2016,November,21,Monday,3,12,New Quay,6
1683121,11/21/2016 3:00,2016,November,21,Monday,3,13,Flagstaff Station,12
1683122,11/21/2016 3:00,2016,November,21,Monday,3,14,Sandridge Bridge,16
1683123,11/21/2016 3:00,2016,November,21,Monday,3,15,State Library,27
1683124,11/21/2016 3:00,2016,November,21,Monday,3,17,Collins Place (South),0
1683125,11/21/2016 3:00,2016,November,21,Monday,3,18,Collins Place (North),0
1683126,11/21/2016 3:00,2016,November,21,Monday,3,19,Chinatown-Swanston St (North),38
1683127,11/21/2016 3:00,2016,November,21,Monday,3,20,Chinatown-Lt Bourke St (South),24
1683128,11/21/2016 3:00,2016,November,21,Monday,3,21,Bourke St-Russell St (West),180
1683129,11/21/2016 3:00,2016,November,21,Monday,3,24,Spencer St-Collins St (North),9
1683130,11/21/2016 3:00,2016,November,21,Monday,3,25,Melbourne Convention Exhibition Centre,11
1683131,11/21/2016 3:00,2016,November,21,Monday,3,26,QV Market-Elizabeth St (West),36
1683132,11/21/2016 3:00,2016,November,21,Monday,3,27,QV Market-Peel St,1
1683133,11/21/2016 3:00,2016,November,21,Monday,3,28,The Arts Centre,41
1683134,11/21/2016 3:00,2016,November,21,Monday,3,29,St Kilda Rd-Alexandra Gardens,2
1683135,11/21/2016 3:00,2016,November,21,Monday,3,30,Lonsdale St (South),49
1683136,11/21/2016 3:00,2016,November,21,Monday,3,31,Lygon St (West),8
1683137,11/21/2016 3:00,2016,November,21,Monday,3,32,City Square,305
1683138,11/21/2016 3:00,2016,November,21,Monday,3,33,Flinders St-Spring St (West),6
1683139,11/21/2016 3:00,2016,November,21,Monday,3,34,Flinders St-Spark La,7
1683140,11/21/2016 3:00,2016,November,21,Monday,3,35,Southbank,22
1683141,11/21/2016 3:00,2016,November,21,Monday,3,36,Queen St (West),3
1683142,11/21/2016 3:00,2016,November,21,Monday,3,37,Lygon St (East),2
1683143,11/21/2016 3:00,2016,November,21,Monday,3,38,Flinders St-Swanston St (West),69
1683144,11/21/2016 3:00,2016,November,21,Monday,3,39,Alfred Place,0
1683145,11/21/2016 3:00,2016,November,21,Monday,3,40,Lonsdale St-Spring St (West),0
1683146,11/21/2016 3:00,2016,November,21,Monday,3,42,Grattan St-Swanston St (West),4
1683147,11/21/2016 3:00,2016,November,21,Monday,3,43,Monash Rd-Swanston St (West),1
1683148,11/21/2016 3:00,2016,November,21,Monday,3,44,Tin Alley-Swanston St (West),3
1683149,11/21/2016 3:00,2016,November,21,Monday,3,53,Collins St (North),5
1683150,11/21/2016 4:00,2016,November,21,Monday,4,1,Bourke Street Mall (North),23
1683151,11/21/2016 4:00,2016,November,21,Monday,4,2,Bourke Street Mall (South),3
1683152,11/21/2016 4:00,2016,November,21,Monday,4,5,Princes Bridge,65
1683153,11/21/2016 4:00,2016,November,21,Monday,4,6,Flinders Street Station Underpass,37
1683154,11/21/2016 4:00,2016,November,21,Monday,4,8,Webb Bridge,3
1683155,11/21/2016 4:00,2016,November,21,Monday,4,9,Southern Cross Station,14
1683156,11/21/2016 4:00,2016,November,21,Monday,4,10,Victoria Point,2
1683157,11/21/2016 4:00,2016,November,21,Monday,4,11,Waterfront City,0
1683158,11/21/2016 4:00,2016,November,21,Monday,4,12,New Quay,3
1683159,11/21/2016 4:00,2016,November,21,Monday,4,13,Flagstaff Station,7
1683160,11/21/2016 4:00,2016,November,21,Monday,4,14,Sandridge Bridge,27
1683161,11/21/2016 4:00,2016,November,21,Monday,4,15,State Library,13
1683162,11/21/2016 4:00,2016,November,21,Monday,4,17,Collins Place (South),8
1683163,11/21/2016 4:00,2016,November,21,Monday,4,18,Collins Place (North),7
1683164,11/21/2016 4:00,2016,November,21,Monday,4,19,Chinatown-Swanston St (North),33
1683165,11/21/2016 4:00,2016,November,21,Monday,4,20,Chinatown-Lt Bourke St (South),22
1683166,11/21/2016 4:00,2016,November,21,Monday,4,21,Bourke St-Russell St (West),105
1683167,11/21/2016 4:00,2016,November,21,Monday,4,24,Spencer St-Collins St (North),28
1683168,11/21/2016 4:00,2016,November,21,Monday,4,25,Melbourne Convention Exhibition Centre,28
1683169,11/21/2016 4:00,2016,November,21,Monday,4,26,QV Market-Elizabeth St (West),26
1683170,11/21/2016 4:00,2016,November,21,Monday,4,27,QV Market-Peel St,2
1683171,11/21/2016 4:00,2016,November,21,Monday,4,28,The Arts Centre,69
1683172,11/21/2016 4:00,2016,November,21,Monday,4,29,St Kilda Rd-Alexandra Gardens,5
1683173,11/21/2016 4:00,2016,November,21,Monday,4,30,Lonsdale St (South),21
1683174,11/21/2016 4:00,2016,November,21,Monday,4,31,Lygon St (West),7
1683175,11/21/2016 4:00,2016,November,21,Monday,4,32,City Square,190
1683176,11/21/2016 4:00,2016,November,21,Monday,4,33,Flinders St-Spring St (West),7
1683177,11/21/2016 4:00,2016,November,21,Monday,4,34,Flinders St-Spark La,8
1683178,11/21/2016 4:00,2016,November,21,Monday,4,35,Southbank,34
1683179,11/21/2016 4:00,2016,November,21,Monday,4,36,Queen St (West),3
1683180,11/21/2016 4:00,2016,November,21,Monday,4,37,Lygon St (East),2
