,id,date_time,year,month,mdate,day,time,sensor_id,sensor_name_x,hourly_counts,sensor_description,sensor_name_y,installation_date,status,note,direction_1,direction_2,latitude,longitude,location
43,2887671,11/1/2019,2019,November,1,Friday,18,26,QV Market-Elizabeth St (West),744,QV Market-Elizabeth St (West),Eli483_T,9/28/2013,A,,South,North,-37.80869542,144.960494,"(-37.80869542, 144.96049404)"
44,2887672,11/1/2019,2019,November,1,Friday,18,24,Spencer St-Collins St (North),"2,552",Spencer St-Collins St (North),Col620_T,9/2/2013,A,,East,West,-37.81887962,144.954492,"(-37.81887962, 144.95449198)"
45,2887673,11/1/2019,2019,November,1,Friday,18,23,Spencer St-Collins St (South),496,Spencer St-Collins St (South),Col623_T,9/2/2013,A,,East,West,-37.81909256,144.9545275,"(-37.81909256, 144.95452749)"
46,2887674,11/1/2019,2019,November,1,Friday,18,25,Melbourne Convention Exhibition Centre,"2,355",Melbourne Convention Exhibition Centre,MCEC_T,10/2/2019,A,Sensor relocated from 14 to 25 on 2/10/2019,East,West,-37.82401776,144.9560443,"(-37.82401776, 144.95604426)"
47,2887675,11/1/2019,2019,November,1,Friday,18,21,Bourke St-Russell St (West),"1,071",Bourke St-Russell St (West),Rus180_T,9/2/2013,A,,South,North,-37.81244703,144.9677876,"(-37.81244703, 144.96778757)"
48,2887676,11/1/2019,2019,November,1,Friday,18,20,Chinatown-Lt Bourke St (South),816,Chinatown-Lt Bourke St (South),LtB170_T,9/6/2013,A,,East,West,-37.81172913,144.9682466,"(-37.81172913, 144.9682466)"
49,2887677,11/1/2019,2019,November,1,Friday,18,19,Chinatown-Swanston St (North),"1,362",Chinatown-Swanston St (North),LtB210_T,9/2/2013,A,,East,West,-37.81237202,144.9655067,"(-37.81237202, 144.96550671)"
50,2887678,11/1/2019,2019,November,1,Friday,18,22,Flinders St-Elizabeth St (East),"3,005",Flinders St-Elizabeth St (East),Eli274_T,8/12/2013,A,,South,North,-37.81786445,144.9650682,"(-37.81786445, 144.96506823)"
51,2887679,11/1/2019,2019,November,1,Friday,18,27,QV Market-Peel St,159,QV Market-Peel St,Vic_T,8/16/2013,A,,East,West,-37.80606888,144.9564469,"(-37.80606888, 144.95644693)"
52,2887680,11/1/2019,2019,November,1,Friday,18,28,The Arts Centre,"1,565",The Arts Centre,VAC_T,8/23/2013,A,,South,North,-37.82129924,144.9687931,"(-37.82129924, 144.96879309)"
53,2887681,11/1/2019,2019,November,1,Friday,18,31,Lygon St (West),418,Lygon St (West),Lyg161_T,10/10/2013,A,,South,North,-37.8016968,144.9665891,"(-37.8016968, 144.96658911)"
54,2887682,11/1/2019,2019,November,1,Friday,18,30,Lonsdale St (South),"1,129",Lonsdale St (South),Lon189_T,10/14/2013,A,,East,West,-37.81121849,144.9665681,"(-37.81121849, 144.96656807)"
55,2887683,11/1/2019,2019,November,1,Friday,18,34,Flinders St-Spark La,240,Flinders St-Spark La,Fli32_T,6/8/2014,A,,East,West,-37.81537985,144.9741505,"(-37.81537985, 144.9741505)"
56,2887684,11/1/2019,2019,November,1,Friday,18,39,Alfred Place,384,Alfred Place,AlfPl_T,12/4/2019,A,In 4/12/2019 sensor upgraded,South,North,-37.81379749,144.9699575,"(-37.81379749, 144.96995745)"
57,2887685,11/1/2019,2019,November,1,Friday,18,37,Lygon St (East),210,Lygon St (East),Lyg260_T,2/11/2015,A,,North,South,-37.80310271,144.9667145,"(-37.80310271, 144.96671452)"
58,2887686,11/1/2019,2019,November,1,Friday,18,40,Lonsdale St-Spring St (West),387,Lonsdale St-Spring St (West),Spr201_T,1/19/2015,A,,South,North,-37.80999341,144.9722759,"(-37.80999341, 144.97227588)"
59,2887687,11/1/2019,2019,November,1,Friday,18,36,Queen St (West),496,Queen St (West),Que85_T,1/20/2015,A,,South,North,-37.81652527,144.9612106,"(-37.81652527, 144.96121063)"
60,2887688,11/1/2019,2019,November,1,Friday,18,29,St Kilda Rd-Alexandra Gardens,754,St Kilda Rd-Alexandra Gardens,AG_T,10/11/2013,A,sensor upgraded from laser to 3D on 19/12/2019,North,South,-37.81965808,144.9686345,"(-37.81965808, 144.96863453)"
61,2887689,11/1/2019,2019,November,1,Friday,18,42,Grattan St-Swanston St (West),447,Grattan St-Swanston St (West),UM1_T,4/15/2015,A,,South,North,-37.80008565,144.9638641,"(-37.80008565, 144.96386412)"
