,ID,Date_Time,Year,Month,Mdate,Day,Time,sensor_id,Sensor_Name,Hourly_Counts,sensor_description,sensor_name,installation_date,status,note,direction_1,direction_2,latitude,longitude,location
60,1683058,11,2016,November,21,Monday,1,29,St Kilda Rd-Alexandra Gardens,22,St Kilda Rd-Alexandra Gardens,AG_T,2013/10/11,A,sensor upgraded from laser to 3D on 19/12/2019,North,South,-37.81965808,144.96863453,"(-37.81965808, 144.96863453)"
61,1683059,11,2016,November,21,Monday,1,30,Lonsdale St (South),201,Lonsdale St (South),Lon189_T,2013/10/14,A,,East,West,-37.81121849,144.96656807,"(-37.81121849, 144.96656807)"
62,1683060,11,2016,November,21,Monday,1,31,Lygon St (West),67,Lygon St (West),Lyg161_T,2013/10/10,A,,South,North,-37.8016968,144.96658911,"(-37.8016968, 144.96658911)"
63,1683061,11,2016,November,21,Monday,1,32,City Square,62,City Square,CSq_T,2013/12/20,R,Device has been removed (24/01/2017),,,-37.81573742,144.96685718,"(-37.81573742, 144.96685718)"
64,1683062,11,2016,November,21,Monday,1,33,Flinders St-Spring St (West),5,Flinders St-Spring St (West),Spr13_T,2014/04/23,R,,North,South,-37.81483252,144.97454056,"(-37.81483252, 144.97454056)"
65,1683063,11,2016,November,21,Monday,1,34,Flinders St-Spark La,6,Flinders St-Spark La,Fli32_T,2014/06/08,A,,East,West,-37.81537985,144.9741505,"(-37.81537985, 144.9741505)"
66,1683064,11,2016,November,21,Monday,1,35,Southbank,85,Southbank,SouthB_T,2021/04/15,A,River side,East,West,-37.82017828,144.96508877,"(-37.82017828, 144.96508877)"
67,1683065,11,2016,November,21,Monday,1,36,Queen St (West),10,Queen St (West),Que85_T,2015/01/20,A,,South,North,-37.81652527,144.96121063,"(-37.81652527, 144.96121063)"
68,1683066,11,2016,November,21,Monday,1,37,Lygon St (East),6,Lygon St (East),Lyg260_T,2015/02/11,A,,North,South,-37.80310271,144.96671452,"(-37.80310271, 144.96671452)"
69,1683067,11,2016,November,21,Monday,1,38,Flinders St-Swanston St (West),262,Flinders St-Swanston St (West),Swa11_T,2014/12/05,R,Device has been removed (17/02/2017),,,-37.81723437,144.96715033,"(-37.81723437, 144.96715033)"
70,1683068,11,2016,November,21,Monday,1,39,Alfred Place,6,Alfred Place,AlfPl_T,2019/12/04,A,In 4/12/2019 sensor upgraded,South,North,-37.81379749,144.96995745,"(-37.81379749, 144.96995745)"
71,1683069,11,2016,November,21,Monday,1,40,Lonsdale St-Spring St (West),6,Lonsdale St-Spring St (West),Spr201_T,2015/01/19,A,,South,North,-37.80999341,144.97227588,"(-37.80999341, 144.97227588)"
72,1683070,11,2016,November,21,Monday,1,42,Grattan St-Swanston St (West),17,Grattan St-Swanston St (West),UM1_T,2015/04/15,A,,South,North,-37.80008565,144.96386412,"(-37.80008565, 144.96386412)"
73,1683071,11,2016,November,21,Monday,1,43,Monash Rd-Swanston St (West),7,Monash Rd-Swanston St (West),UM2_T,2015/04/15,A,,South,North,-37.79844525,144.96411782,"(-37.79844525, 144.96411782)"
74,1683072,11,2016,November,21,Monday,1,44,Tin Alley-Swanston St (West),7,Tin Alley-Swanston St (West),UM3_T,2015/04/15,A,,South,North,-37.79690473,144.96440378,"(-37.79690473, 144.96440378)"
75,1683073,11,2016,November,21,Monday,1,53,Collins St (North),30,Collins Street (North),Col254_T,2015/09/23,A,,West,East,-37.8156419,144.965499,"(-37.8156419, 144.965499)"
76,1683074,11,2016,November,21,Monday,2,1,Bourke Street Mall (North),42,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,West,East,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
77,1683075,11,2016,November,21,Monday,2,2,Bourke Street Mall (South),28,Bourke Street Mall (South),Bou283_T,2009/03/30,A,,East,West,-37.81380667,144.96516719,"(-37.81380667, 144.96516719)"
78,1683076,11,2016,November,21,Monday,2,5,Princes Bridge,46,Princes Bridge,PriNW_T,2009/03/26,A,,North,South,-37.81874249,144.96787656,"(-37.81874249, 144.96787656)"
79,1683077,11,2016,November,21,Monday,2,6,Flinders Street Station Underpass,41,Flinders Street Station Underpass,FliS_T,2009/03/25,A,Upgraded on 8/09/21,North,South,-37.81911704,144.96558256,"(-37.81911704, 144.96558256)"
80,1683078,11,2016,November,21,Monday,2,8,Webb Bridge,3,Webb Bridge,WebBN_T,2009/03/24,A,,North,South,-37.82293543,144.94717511,"(-37.82293543, 144.94717511)"
81,1683079,11,2016,November,21,Monday,2,9,Southern Cross Station,1,Southern Cross Station,Col700_T,2009/03/23,A,,East,West,-37.81982992,144.95102556,"(-37.81982992, 144.95102556)"
82,1683080,11,2016,November,21,Monday,2,10,Victoria Point,5,Victoria Point,BouHbr_T,2009/04/23,A,,West,East,-37.81876473,144.94710545,"(-37.81876473, 144.94710545)"
83,1683081,11,2016,November,21,Monday,2,11,Waterfront City,9,Waterfront City,WatCit_T,2009/01/20,A,,East,West,-37.81564989,144.93970695,"(-37.81564989, 144.93970695)"
84,1683082,11,2016,November,21,Monday,2,12,New Quay,11,New Quay,NewQ_T,2009/01/21,A,,West,East,-37.81457987,144.94292398,"(-37.81457987, 144.94292398)"
85,1683083,11,2016,November,21,Monday,2,13,Flagstaff Station,28,Flagstaff Station,Wil277_T,2009/03/24,R,,,,-37.81239679,144.95652653,"(-37.81239679, 144.95652653)"
86,1683084,11,2016,November,21,Monday,2,14,Sandridge Bridge,37,Sandridge Bridge,SanBri_T,2019/09/25,A,,North,South,-37.82011242,144.96291898,"(-37.82011242, 144.96291898)"
87,1683085,11,2016,November,21,Monday,2,15,State Library,20,State Library,QV_T,2009/03/25,R,,South,North,-37.81064378,144.96447132,"(-37.81064378, 144.96447132)"
88,1683086,11,2016,November,21,Monday,2,17,Collins Place (South),16,Collins Place (South),Col15_T,2009/03/30,A,Device is upgraded in 26/02/2020,East,West,-37.81362542,144.97323592,"(-37.81362542, 144.97323592)"
89,1683087,11,2016,November,21,Monday,2,18,Collins Place (North),5,Collins Place (North),Col12_T,2009/03/30,A,,East,West,-37.81344861,144.97305354,"(-37.81344861, 144.97305354)"
90,1683088,11,2016,November,21,Monday,2,19,Chinatown-Swanston St (North),54,Chinatown-Swanston St (North),LtB210_T,2013/09/02,A,,East,West,-37.81237202,144.96550671,"(-37.81237202, 144.96550671)"
91,1683089,11,2016,November,21,Monday,2,20,Chinatown-Lt Bourke St (South),22,Chinatown-Lt Bourke St (South),LtB170_T,2013/09/06,A,,East,West,-37.81172913,144.9682466,"(-37.81172913, 144.9682466)"
92,1683090,11,2016,November,21,Monday,2,21,Bourke St-Russell St (West),165,Bourke St-Russell St (West),Rus180_T,2013/09/02,A,,South,North,-37.81244703,144.96778757,"(-37.81244703, 144.96778757)"
93,1683091,11,2016,November,21,Monday,2,24,Spencer St-Collins St (North),33,Spencer St-Collins St (North),Col620_T,2013/09/02,A,,East,West,-37.81887962,144.95449198,"(-37.81887962, 144.95449198)"
94,1683092,11,2016,November,21,Monday,2,25,Melbourne Convention Exhibition Centre,31,Melbourne Convention Exhibition Centre,MCEC_T,2019/10/02,A,Sensor relocated from 14 to 25 on 2/10/2019,East,West,-37.82401776,144.95604426,"(-37.82401776, 144.95604426)"
95,1683093,11,2016,November,21,Monday,2,26,QV Market-Elizabeth St (West),48,QV Market-Elizabeth St (West),Eli483_T,2013/09/28,A,,South,North,-37.80869542,144.96049404,"(-37.80869542, 144.96049404)"
96,1683094,11,2016,November,21,Monday,2,27,QV Market-Peel St,3,QV Market-Peel St,Vic_T,2013/08/16,A,,East,West,-37.80606888,144.95644693,"(-37.80606888, 144.95644693)"
97,1683095,11,2016,November,21,Monday,2,28,The Arts Centre,32,The Arts Centre,VAC_T,2013/08/23,A,,South,North,-37.82129924,144.96879309,"(-37.82129924, 144.96879309)"
98,1683096,11,2016,November,21,Monday,2,29,St Kilda Rd-Alexandra Gardens,7,St Kilda Rd-Alexandra Gardens,AG_T,2013/10/11,A,sensor upgraded from laser to 3D on 19/12/2019,North,South,-37.81965808,144.96863453,"(-37.81965808, 144.96863453)"
99,1683097,11,2016,November,21,Monday,2,30,Lonsdale St (South),84,Lonsdale St (South),Lon189_T,2013/10/14,A,,East,West,-37.81121849,144.96656807,"(-37.81121849, 144.96656807)"
100,1683098,11,2016,November,21,Monday,2,31,Lygon St (West),12,Lygon St (West),Lyg161_T,2013/10/10,A,,South,North,-37.8016968,144.96658911,"(-37.8016968, 144.96658911)"
101,1683099,11,2016,November,21,Monday,2,32,City Square,23,City Square,CSq_T,2013/12/20,R,Device has been removed (24/01/2017),,,-37.81573742,144.96685718,"(-37.81573742, 144.96685718)"
102,1683100,11,2016,November,21,Monday,2,33,Flinders St-Spring St (West),3,Flinders St-Spring St (West),Spr13_T,2014/04/23,R,,North,South,-37.81483252,144.97454056,"(-37.81483252, 144.97454056)"
103,1683101,11,2016,November,21,Monday,2,34,Flinders St-Spark La,5,Flinders St-Spark La,Fli32_T,2014/06/08,A,,East,West,-37.81537985,144.9741505,"(-37.81537985, 144.9741505)"
104,1683102,11,2016,November,21,Monday,2,35,Southbank,20,Southbank,SouthB_T,2021/04/15,A,River side,East,West,-37.82017828,144.96508877,"(-37.82017828, 144.96508877)"
105,1683103,11,2016,November,21,Monday,2,36,Queen St (West),5,Queen St (West),Que85_T,2015/01/20,A,,South,North,-37.81652527,144.96121063,"(-37.81652527, 144.96121063)"
