,id,date_time,year,month,mdate,day,time,sensor_id,sensor_name_x,hourly_counts,sensor_description,sensor_name_y,installation_date,status,note,direction_1,direction_2,latitude,longitude,location
185001,2654831,5/2/2019,2019,May,2,Thursday,1,30,Lonsdale St (South),137,Lonsdale St (South),Lon189_T,10/14/2013,A,,East,West,-37.81121849,144.9665681,"(-37.81121849, 144.96656807)"
185002,2654832,5/2/2019,2019,May,2,Thursday,1,31,Lygon St (West),21,Lygon St (West),Lyg161_T,10/10/2013,A,,South,North,-37.8016968,144.9665891,"(-37.8016968, 144.96658911)"
185003,2654833,5/2/2019,2019,May,2,Thursday,1,33,Flinders St-Spring St (West),7,Flinders St-Spring St (West),Spr13_T,4/23/2014,R,,North,South,-37.81483252,144.9745406,"(-37.81483252, 144.97454056)"
185004,2654834,5/2/2019,2019,May,2,Thursday,1,34,Flinders St-Spark La,11,Flinders St-Spark La,Fli32_T,6/8/2014,A,,East,West,-37.81537985,144.9741505,"(-37.81537985, 144.9741505)"
185005,2654835,5/2/2019,2019,May,2,Thursday,1,35,Southbank,61,Southbank,SouthB_T,4/15/2021,A,River side,East,West,-37.82017828,144.9650888,"(-37.82017828, 144.96508877)"
185006,2654836,5/2/2019,2019,May,2,Thursday,1,36,Queen St (West),8,Queen St (West),Que85_T,1/20/2015,A,,South,North,-37.81652527,144.9612106,"(-37.81652527, 144.96121063)"
185007,2654837,5/2/2019,2019,May,2,Thursday,1,37,Lygon St (East),7,Lygon St (East),Lyg260_T,2/11/2015,A,,North,South,-37.80310271,144.9667145,"(-37.80310271, 144.96671452)"
185008,2654838,5/2/2019,2019,May,2,Thursday,1,39,Alfred Place,19,Alfred Place,AlfPl_T,12/4/2019,A,In 4/12/2019 sensor upgraded,South,North,-37.81379749,144.9699575,"(-37.81379749, 144.96995745)"
185009,2654839,5/2/2019,2019,May,2,Thursday,1,40,Lonsdale St-Spring St (West),13,Lonsdale St-Spring St (West),Spr201_T,1/19/2015,A,,South,North,-37.80999341,144.9722759,"(-37.80999341, 144.97227588)"
185010,2654840,5/2/2019,2019,May,2,Thursday,1,42,Grattan St-Swanston St (West),79,Grattan St-Swanston St (West),UM1_T,4/15/2015,A,,South,North,-37.80008565,144.9638641,"(-37.80008565, 144.96386412)"
185011,2654841,5/2/2019,2019,May,2,Thursday,1,43,Monash Rd-Swanston St (West),44,Monash Rd-Swanston St (West),UM2_T,4/15/2015,A,,South,North,-37.79844525,144.9641178,"(-37.79844525, 144.96411782)"
185012,2654842,5/2/2019,2019,May,2,Thursday,1,44,Tin Alley-Swanston St (West),38,Tin Alley-Swanston St (West),UM3_T,4/15/2015,A,,South,North,-37.79690473,144.9644038,"(-37.79690473, 144.96440378)"
185013,2654843,5/2/2019,2019,May,2,Thursday,1,46,Pelham St (South),12,Pelham St (South),Pel147_T,7/10/2017,A,,West,East,-37.80240719,144.9615673,"(-37.80240719, 144.96156731)"
185014,2654844,5/2/2019,2019,May,2,Thursday,1,47,Melbourne Central-Elizabeth St (East),76,Melbourne Central-Elizabeth St (East),Eli250_T,8/24/2017,A,,South,North,-37.81160331,144.9622008,"(-37.81160331, 144.96220077)"
185015,2654845,5/2/2019,2019,May,2,Thursday,1,48,QVM-Queen St (East),19,QVM-Queen St (East),QVMQ_T,10/2/2017,A,,East,West,-37.80631581,144.958667,"(-37.80631581, 144.95866698)"
185016,2654846,5/2/2019,2019,May,2,Thursday,1,49,QVM-Therry St (South),55,QVM-Therry St (South),Eli501_T,11/29/2017,A,,West,East,-37.80730067,144.9595606,"(-37.80730067, 144.95956055)"
185017,2654847,5/2/2019,2019,May,2,Thursday,1,50,Faraday St-Lygon St (West),21,Faraday St-Lygon St (West),Lyg309_T,11/30/2017,A,,North,South,-37.79808191,144.9672101,"(-37.79808191, 144.96721014)"
185018,2654848,5/2/2019,2019,May,2,Thursday,1,51,QVM-Franklin St (North),21,QVM-Franklin St (North),Fra118_T,11/30/2017,A,,West,East,-37.80841814,144.9590632,"(-37.80841814, 144.95906317)"
185019,2654849,5/2/2019,2019,May,2,Thursday,1,52,Elizabeth St-Lonsdale St (South),27,Elizabeth St-Lonsdale St (South),Eli263_T,7/31/2017,A,,West,East,-37.81252157,144.9619401,"(-37.81252157, 144.9619401)"
185020,2654850,5/2/2019,2019,May,2,Thursday,1,53,Collins St (North),23,Collins Street (North),Col254_T,9/23/2015,A,,West,East,-37.8156419,144.965499,"(-37.8156419, 144.965499)"
185021,2654851,5/2/2019,2019,May,2,Thursday,1,54,Lincoln-Swanston (West),48,Lincoln-Swanston (West),Swa607_T,6/26/2018,A,,South,North,-37.804024,144.963084,"(-37.804024, 144.963084)"
185022,2654852,5/2/2019,2019,May,2,Thursday,1,56,Lonsdale St - Elizabeth St (North),31,Lonsdale St - Elizabeth St (North),Lon364_T,7/25/2018,A,,East,West,-37.81234775,144.9615331,"(-37.81234775, 144.96153311)"
185023,2654853,5/2/2019,2019,May,2,Thursday,1,57,Bourke St Bridge,22,Bourke St Bridge,BouBri_T,8/13/2018,A,,West,East,-37.8176735,144.950256,"(-37.8176735, 144.95025595)"
185024,2654854,5/2/2019,2019,May,2,Thursday,1,58,Bourke St - Spencer St (North),51,Bourke St - Spencer St (North),Bou688_T,9/27/2018,A,,West,East,-37.81686074,144.9535808,"(-37.81686074, 144.95358075)"
185025,2654855,5/2/2019,2019,May,2,Thursday,1,59,Swanston St - RMIT Building 80,6,Building 80 RMIT,RMIT_T,2/13/2019,A,,North,South,-37.80825648,144.9630486,"(-37.80825648, 144.96304859)"
185026,2654856,5/2/2019,2019,May,2,Thursday,1,60,Flinders La - Swanston St (West) Temp,120,Flinders La - Swanston St (West) Temporary,Swa31T_T,3/8/2019,R,Temporary for the duration of the metro tunnel works. Installed under the scaffolding.,North,South,-37.81668188,144.9668954,"(-37.81668188, 144.9668954)"
185027,2654857,5/2/2019,2019,May,2,Thursday,2,1,Bourke Street Mall (North),19,Bourke Street Mall (North),Bou292_T,3/24/2009,A,,West,East,-37.8134944,144.9651532,"(-37.8134944, 144.96515324)"
185028,2654858,5/2/2019,2019,May,2,Thursday,2,2,Bourke Street Mall (South),18,Bourke Street Mall (South),Bou283_T,3/30/2009,A,,East,West,-37.81380667,144.9651672,"(-37.81380667, 144.96516719)"
185029,2654859,5/2/2019,2019,May,2,Thursday,2,3,Melbourne Central,87,Melbourne Central,Swa295_T,3/25/2009,A,,North,South,-37.81101523,144.9642949,"(-37.81101523, 144.96429485)"
185030,2654860,5/2/2019,2019,May,2,Thursday,2,4,Town Hall (West),59,Town Hall (West),Swa123_T,3/23/2009,A,,South,North,-37.81487988,144.9660878,"(-37.81487988, 144.9660878)"
185031,2654861,5/2/2019,2019,May,2,Thursday,2,5,Princes Bridge,29,Princes Bridge,PriNW_T,3/26/2009,A,,North,South,-37.81874249,144.9678766,"(-37.81874249, 144.96787656)"
185032,2654862,5/2/2019,2019,May,2,Thursday,2,6,Flinders Street Station Underpass,50,Flinders Street Station Underpass,FliS_T,3/25/2009,A,Upgraded on 8/09/21,North,South,-37.81911704,144.9655826,"(-37.81911704, 144.96558256)"
185033,2654863,5/2/2019,2019,May,2,Thursday,2,7,Birrarung Marr,8,Birrarung Marr,Fed_T,12/17/2014,A,,East,West,-37.81862929,144.971694,"(-37.81862929, 144.97169395)"
