,Unnamed: 0,id,date_time,year,month,mdate,day,time,sensor_id,sensor_name_x,hourly_counts,sensor_description,sensor_name_y,installation_date,status,note,direction_1,direction_2,latitude,longitude,location
39,39,2887667,2019-11-01,2019,November,1,Friday,18,7,Birrarung Marr,1010,Birrarung Marr,Fed_T,2014/12/17,A,,East,West,-37.81862929,144.97169395,"(-37.81862929, 144.97169395)"
40,40,2887668,2019-11-01,2019,November,1,Friday,18,5,Princes Bridge,3084,Princes Bridge,PriNW_T,2009/03/26,A,,North,South,-37.81874249,144.96787656,"(-37.81874249, 144.96787656)"
41,41,2887669,2019-11-01,2019,November,1,Friday,18,6,Flinders Street Station Underpass,3462,Flinders Street Station Underpass,FliS_T,2009/03/25,A,Upgraded on 8/09/21,North,South,-37.81911704,144.96558256,"(-37.81911704, 144.96558256)"
42,42,2887670,2019-11-01,2019,November,1,Friday,18,14,Sandridge Bridge,43,Sandridge Bridge,SanBri_T,2019/09/25,A,,North,South,-37.82011242,144.96291898,"(-37.82011242, 144.96291898)"
43,43,2887671,2019-11-01,2019,November,1,Friday,18,26,QV Market-Elizabeth St (West),744,QV Market-Elizabeth St (West),Eli483_T,2013/09/28,A,,South,North,-37.80869542,144.96049404,"(-37.80869542, 144.96049404)"
44,44,2887672,2019-11-01,2019,November,1,Friday,18,24,Spencer St-Collins St (North),2552,Spencer St-Collins St (North),Col620_T,2013/09/02,A,,East,West,-37.81887962,144.95449198,"(-37.81887962, 144.95449198)"
45,45,2887673,2019-11-01,2019,November,1,Friday,18,23,Spencer St-Collins St (South),496,Spencer St-Collins St (South),Col623_T,2013/09/02,A,,East,West,-37.81909256,144.95452749,"(-37.81909256, 144.95452749)"
46,46,2887674,2019-11-01,2019,November,1,Friday,18,25,Melbourne Convention Exhibition Centre,2355,Melbourne Convention Exhibition Centre,MCEC_T,2019/10/02,A,Sensor relocated from 14 to 25 on 2/10/2019,East,West,-37.82401776,144.95604426,"(-37.82401776, 144.95604426)"
47,47,2887675,2019-11-01,2019,November,1,Friday,18,21,Bourke St-Russell St (West),1071,Bourke St-Russell St (West),Rus180_T,2013/09/02,A,,South,North,-37.81244703,144.96778757,"(-37.81244703, 144.96778757)"
48,48,2887676,2019-11-01,2019,November,1,Friday,18,20,Chinatown-Lt Bourke St (South),816,Chinatown-Lt Bourke St (South),LtB170_T,2013/09/06,A,,East,West,-37.81172913,144.9682466,"(-37.81172913, 144.9682466)"
49,49,2887677,2019-11-01,2019,November,1,Friday,18,19,Chinatown-Swanston St (North),1362,Chinatown-Swanston St (North),LtB210_T,2013/09/02,A,,East,West,-37.81237202,144.96550671,"(-37.81237202, 144.96550671)"
50,50,2887678,2019-11-01,2019,November,1,Friday,18,22,Flinders St-Elizabeth St (East),3005,Flinders St-Elizabeth St (East),Eli274_T,2013/08/12,A,,South,North,-37.81786445,144.96506823,"(-37.81786445, 144.96506823)"
51,51,2887679,2019-11-01,2019,November,1,Friday,18,27,QV Market-Peel St,159,QV Market-Peel St,Vic_T,2013/08/16,A,,East,West,-37.80606888,144.95644693,"(-37.80606888, 144.95644693)"
52,52,2887680,2019-11-01,2019,November,1,Friday,18,28,The Arts Centre,1565,The Arts Centre,VAC_T,2013/08/23,A,,South,North,-37.82129924,144.96879309,"(-37.82129924, 144.96879309)"
53,53,2887681,2019-11-01,2019,November,1,Friday,18,31,Lygon St (West),418,Lygon St (West),Lyg161_T,2013/10/10,A,,South,North,-37.8016968,144.96658911,"(-37.8016968, 144.96658911)"
54,54,2887682,2019-11-01,2019,November,1,Friday,18,30,Lonsdale St (South),1129,Lonsdale St (South),Lon189_T,2013/10/14,A,,East,West,-37.81121849,144.96656807,"(-37.81121849, 144.96656807)"
55,55,2887683,2019-11-01,2019,November,1,Friday,18,34,Flinders St-Spark La,240,Flinders St-Spark La,Fli32_T,2014/06/08,A,,East,West,-37.81537985,144.9741505,"(-37.81537985, 144.9741505)"
